OPERACIàN VOLROD AVALéOS 2025;;;;;;2024;;2025;;Financiero;;
Estado;Departamento;Municipio;Kms;Tipo Ubicaci¢n;Tipo de RH;Tarifa a Cliente;Costo RH Destajo;Tarifa a Cliente;Costo RH Destajo;Margen;Aumento 2025;
Activo;CundTol;Mesitas del Colegio;71;Cercano;Destajo;$ 142.218;$ 95.000;$ 156.500;$ 100.700;36%;;
Inactivo;Magdalena;Santa Marta;0;Principal;Destajo;$ 67.500;$ 40.500;$ 70.000;$ 42.900;39%;;
Inactivo;Magdalena;Cienaga;73;Terciario;Destajo;$ 137.000;$ 109.600;$ 150.700;$ 116.100;23%;;
Inactivo;Meta;Villavicencio;0;Principal;Destajo;$ 67.500;$ 40.500;$ 70.000;$ 42.900;39%;;
Inactivo;Meta;Acacias;29; Secundario;Destajo;$ 118.000;$ 94.400;$ 129.800;$ 100.000;23%;;
Inactivo;Meta;Restrepo;16;Cercano;Destajo;$ 104.000;$ 83.200;$ 114.400;$ 88.100;23%;;
Inactivo;Norte de Santander;Cucuta;0;Principal;Destajo;$ 67.500;$ 40.500;$ 70.000;$ 42.900;39%;;
Inactivo;Norte de Santander;El Zulia;37; Secundario;Destajo;$ 88.000;$ 61.600;$ 96.800;$ 65.200;33%;;
Inactivo;Norte de Santander;Los Patios;10;Principal;Destajo;$ 78.000;$ 46.800;$ 85.800;$ 49.600;42%;;
Inactivo;Norte de Santander;San Cayetano;22;Cercano;Destajo;$ 83.000;$ 58.100;$ 91.300;$ 61.500;33%;;
Inactivo;Norte de Santander;Villa Del Rosario;7;Principal;Destajo;$ 80.000;$ 48.000;$ 88.000;$ 50.800;42%;;
Inactivo;Quind¡o;Armenia QND;0;Principal;Destajo;$ 67.500;$ 40.500;$ 70.000;$ 42.900;39%;;
Inactivo;Quind¡o;Calarc ;7;Principal;Destajo;$ 76.000;$ 45.600;$ 83.600;$ 48.300;42%;;
Inactivo;Quind¡o;Circasia;13;Cercano;Destajo;$ 85.000;$ 59.500;$ 93.500;$ 63.000;33%;;
Inactivo;Quind¡o;La Tebaida;18;Cercano;Destajo;$ 93.000;$ 65.100;$ 102.300;$ 69.000;33%;;
Inactivo;Quind¡o;Montenegro;12;Cercano;Destajo;$ 90.000;$ 63.000;$ 99.000;$ 66.700;33%;;
Inactivo;Quind¡o;Quimbaya;23;Cercano;Destajo;$ 89.000;$ 62.300;$ 97.900;$ 66.000;33%;;
